linea;nodo_1;nodo_2;distancia;descripcion;tipodia;hora_desde;hora_hasta;tr_optimo;tr_minimo;tr_maximo;trayecto;sentido;secuencia;tipo_arco;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;01:00:00;05:30:00;00:54:45;00:51:45;00:56:45;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;05:30:00;06:30:00;01:00:30;00:56:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;06:30:00;08:00:00;01:00:45;00:56:15;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;08:00:00;09:00:00;00:55:15;00:52:00;00:56:45;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;09:00:00;16:00:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;16:00:00;17:00:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;17:00:00;18:30:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;18:30:00;19:30:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;19:30:00;20:30:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Portal Sur T6;Flores B - 4 ó 6;20688;A52 Flores;Habil;20:30:00;30:00:00;00:57:45;00:51:45;01:03:30;1453;1;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;01:00:00;05:30:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;05:30:00;06:30:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;06:30:00;08:00:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;08:00:00;09:00:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;09:00:00;16:00:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;16:00:00;17:00:00;00:55:15;00:51:45;00:57:15;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;17:00:00;18:30:00;01:06:15;01:01:00;01:09:30;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;18:30:00;19:30:00;01:08:30;01:03:30;01:11:00;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;19:30:00;20:30:00;01:01:45;00:56:45;01:03:30;1453;2;1;1;
2;Flores B - 4 ó 6;Portal Sur T6;20272;G52 Portal Sur;Habil;20:30:00;30:00:00;01:02:45;00:51:45;01:11:00;1453;2;1;1;
4;Toberín D - 2;Calle 72 C - 2;9956;A74 Calle 72;Habil;01:00:00;05:30:00;00:26:15;00:24:15;00:34:30;1210;1;1;1;
4;Toberín D - 2;Calle 72 C - 2;9956;A74 Calle 72;Habil;05:30:00;06:30:00;00:24:30;00:24:15;00:34:30;1210;1;1;1;
4;Toberín D - 2;Calle 72 C - 2;9956;A74 Calle 72;Habil;06:30:00;08:00:00;00:26:45;00:24:15;00:27:30;1210;1;1;1;
